"Parameter Name",Value,Type,"Last Updated"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Enable,1,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.MACAddress,f8:85:f9:9c:d0:63,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.MaxBitRate,Auto,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Name,eth1,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.BroadcastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.BroadcastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.BytesReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.BytesSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.DiscardPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.DiscardPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.ErrorsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.ErrorsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.MulticastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.MulticastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.PacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.PacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.UnicastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.UnicastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Stats.UnknownProtoPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.Status,NoLink,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.X_000631_OnBatteryEnable,0,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.2.X_000631_PhyPortID,2,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.DuplexMode,Full,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Enable,1,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.MACAddress,f8:85:f9:9c:d0:64,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.MaxBitRate,Auto,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Name,eth2,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.BroadcastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.BroadcastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.BytesReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.BytesSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.DiscardPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.DiscardPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.ErrorsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.ErrorsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
